SITE NAME,SITE LATITUDE,SITE LONGITUDE,SPECIES CODE,ORGANISM ID,BAND NUMBER,AGE,SEX,DISTANCE FROM RIVER,NG HG,BLOOD THG NG/G DW,PERCENT MOISTURE,d13C,d15N,COLLECTION DATE,JULIAN DATE
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,COYE,13BIRD0086,271025676,AHY,M,25,3.73315,466.06,76.0824127,-23.52,8.46,6/16/2013,167
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SOSP,13BIRD0093,266107484,AHY,M,63,3.6568,282.6,76.8224969,-23.27,7.68,6/16/2013,167
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SWTH,13BIRD0145,266107474,AHY,M,46,0.08216,51.35,76.6763848,-25.24,4.39,6/13/2013,164
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SOSP,13BIRD0199,266107467,AHY,M,100,1.21481,251.51,78.4278696,-23.87,5.59,6/12/2013,163
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SOSP,13BIRD0206,266107463,AHY,M,39,1.42432,627.45,76.2054507,-22.66,9.81,6/12/2013,163
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SWTH,13BIRD0210,266107469,ASY,M,100,0.72164,154.86,78.9900812,-23.55,7.92,6/12/2013,163
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SOSP,13BIRD0215,266107462,AHY,F,39,5.92514,668,79.0604344,-22.86,9.55,6/12/2013,163
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SPTO,13BIRD0220,60237284,AHY,M,39,1.13671,204.44,78.1875245,-24.37,2.75,6/12/2013,163
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,COYE,13BIRD0224,271025670,ASY,M,100,1.40392,527.79,74.5210728,-24.89,6.9,6/12/2013,163
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SWTH,13BIRD0227,266107468,AHY,M,100,0.50379,126.58,78.8635157,-24.78,4.49,6/12/2013,163
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,YEWA,13BIRD0229,271025675,ASY,M,63,0.77027,395.01,75.8064516,-23.29,7.45,6/16/2013,167
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SOSP,13BIRD0239,266107471,AHY,M,29,2.9063,336.77,78.4626903,-22.72,8.67,6/13/2013,164
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SOSP,13BIRD0243,266107485,AHY,M,25,1.7738,267.14,79.4871795,-23.4,5.98,6/16/2013,167
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SOSP,13BIRD0247,266107464,AHY,M,39,4.02646,457.03,76.8887723,-25.61,7.39,6/12/2013,163
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SPTO,13BIRD0249,60237281,AHY,M,29,2.67724,235.88,78.7612275,-24.72,3.49,6/13/2013,164
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SWTH,13BIRD0267,266107470,AHY,M,100,0.58221,268.3,80.9146878,-25.14,5.05,6/12/2013,163
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,COYE,13BIRD0272,271025668,SY,M,39,2.4153,665.37,75.8803987,-26.22,7.69,6/12/2013,163
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,YEWA,13BIRD0324,271025677,ASY,M,25,0.59093,242.18,75.5755756,-23.49,6.74,6/16/2013,167
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SOSP,13BIRD0375,266107473,AHY,M,46,0.20787,364.68,76.446281,-23.01,8.64,6/13/2013,164
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SWTH,13BIRD0380,266107475,SY,M,46,2.35507,183.7,77.567804,-23.63,7.6,6/13/2013,164
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SOSP,13BIRD0384,266107472,AHY,M,29,5.52344,557.923232,77.7327935,-22.75,8.81,6/13/2013,164
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SOSP,13BIRD0568,266107558,AHY,F,23,1.13714,114.75,79.106051,-25.36,4.78,7/19/2013,200
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SWTH,13BIRD0636,266107560,AHY,M,103,0.39811,86.92,77.2704715,-25.28,4.56,7/19/2013,200
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,COYE,13BIRD0637,149079943,AHY,M,103,0.63978,399.86,77.3371105,-25.25,8.03,7/19/2013,200
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SOSP,13BIRD0638,266107562,AHY,M,103,1.75914,229.65,80.2169421,-25.18,3.9,7/19/2013,200
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SPTO,13BIRD0639,60237250,AHY,M,103,0.39069,64.36,81.0490165,-24.79,3.92,7/19/2013,200
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,COYE,13BIRD0642,149079944,SY,M,103,2.83553,415.77,78.0212697,-25.32,5.31,7/19/2013,200
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SPTO,13BIRD0644,60237243,AHY,M,103,0.28316,108.91,79.7033568,-24.9,3.28,7/19/2013,200
Grand Island State Natural Area_Side Channel,45.103650027886,-123.022103961557,SWTH,13BIRD0711,266107549,AHY,M,30,0.38606,58.58,79.4959552,-25.28,3.89,7/22/2013,203
Irish Bend County Park_Main Stem,44.363108798862,-123.220387101173,SWTH,13BIRD0104,266107361,AHY,M,103,0.88387,323.76,75.5156951,-23.91,6.4,5/25/2013,145
Irish Bend County Park_Main Stem,44.363108798862,-123.220387101173,SOSP,13BIRD0120,266107351,AHY,M,99,2.44818,288.7,79.1697372,-21.97,10.48,5/23/2013,143
Irish Bend County Park_Main Stem,44.363108798862,-123.220387101173,SOSP,13BIRD0153,266107352,AHY,M,105,1.98703,223.26,78.2396088,-23.09,8.33,5/24/2013,144
Irish Bend County Park_Main Stem,44.363108798862,-123.220387101173,YEWA,13BIRD0162,271025638,AHY,M,105,2.08504,245.877358,74.656306,-24.08,6.05,5/24/2013,144
Irish Bend County Park_Main Stem,44.363108798862,-123.220387101173,SWTH,13BIRD0165,266107355,ASY,M,31,1.10083,138.64,75.9539673,-24.8,6.02,5/24/2013,144
Irish Bend County Park_Main Stem,44.363108798862,-123.220387101173,SOSP,13BIRD0171,266107356,AHY,M,52,1.41834,456.06,79.4312169,-22.37,10.17,5/24/2013,144
Irish Bend County Park_Main Stem,44.363108798862,-123.220387101173,SOSP,13BIRD0330,266107359,AHY,F,52,2.28337,281.2,78.042185,-22.42,9.86,5/24/2013,144
Irish Bend County Park_Main Stem,44.363108798862,-123.220387101173,SOSP,13BIRD0338,266107360,AHY,M,52,5.62807,329.71,77.8570502,-22.34,9.02,5/24/2013,144
