SITE NAME,SITE LATITUDE,SITE LONGITUDE,SAMPLE ID,NUMBER IN COMPOSITE,SAMPLING LOCATION,INVERT ORDER RANK MIX,INVERT FAMILY RANK MIX,LOWEST TAXON RANK MIX,LIFE STAGE,TROPHIC GROUP,WHOLE BODY COMPOSITE MEHG NG/G DW,d13C,d15N,COLLECTION DATE,JULIAN DATE
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0494,72,Aquatic,Amphipoda,Amphipoda,Amphipoda,adult,non-predator,48.1,-21.38,11.69,6/16/2013,167
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0889,54,Aquatic,Amphipoda,Amphipoda,Amphipoda,adult,non-predator,117,-19.18,7.81,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0616,125,Terrestrial,Araneae,Araneidae,Araneidae,adult,predator,33.1,-25.86,6.13,6/17/2013,168
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0613,6,Terrestrial,Araneae,Salticidae,Salticidae,adult,predator,30.9,-27.72,3.71,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0623,10,Terrestrial,Araneae,Salticidae,Salticidae,adult,predator,53.1,-26.36,5.96,6/17/2013,168
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0680,35,Terrestrial,Araneae,Spider composite,Spider composite,adult,predator,31.3,-27.16,5.2,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0624,17,Terrestrial,Araneae,Tetragnathidae,Tetragnathidae,adult,predator,95.2,-23.64,7.61,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0626,8,Terrestrial,Araneae,Tetragnathidae,Tetragnathidae,adult,predator,118,-25.14,6.44,6/17/2013,168
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0601,27,Terrestrial,Coleoptera,Coleoptera,Coleoptera,adult,non-predator,2.72,-28.58,2.09,6/17/2013,168
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0670,30,Terrestrial,Coleoptera,Coleoptera,Coleoptera,adult,non-predator,1.91,-28.31,3.13,7/22/2013,203
